,Агуулах,Барааны нэр,,Зарлага | Бараа материал борлуулалт,Зарлага | Бараа материал зарлага,Зарлага | Бараа материал хөдөлгөөн,Зарлага | Бараа материалын актлалт,Зарлага | Дэлгүүрийн борлуулалт,Зарлага | Дэлгүүрийн падааны борлуулалт,Зарлага | Худалдан авалтын буцаалт,Зарлага | Үндсэн хөрөнгө рүү шилжүүлэх,Орлого | Бараа материал хөдөлгөөн,Орлого | Бараа материалын орлого,Орлого | Борлуулалтын буцаалт,Орлого | Дэлгүүрийн борлуулалтын буцаалт,Орлого | Татан авалт,Орлого | Худалдан авалт
227,PN Store,Energy Gel 60g Peach,,95,93,24,0,5,0,0,0,190,0,36,0,0,0
228,PN Store,Energy Gel 60g Professional Lemon,,0,117,0,0,4,0,0,0,120,0,0,0,0,0
229,PN Store,Energy Gel 60g Professional Orange,,130,200,0,0,10,0,0,0,120,0,11,0,0,0
230,PN Store,Energy Gel Professional,,24,146,0,0,4,0,0,0,0,155,24,0,0,0
231,PN Store,Energy gel 60g Orange,,89,4,48,0,0,0,0,0,96,0,42,0,0,0
232,PN Store,FAT-X 60 tbl,,0,3,5,0,10,0,0,0,17,0,0,1,0,0
233,PN Store,Glucosamine 60caps,,25,56,23,0,34,0,0,0,105,0,1,0,0,0
234,PN Store,"Hair, Skin & Nails 54 caps",,0,5,5,0,16,0,0,0,26,0,0,0,0,0
235,PN Store,Hyper Mass - Caramel cappuchino 1kg,,56,10,10,0,4,0,0,0,30,0,3,0,0,0
236,PN Store,Hyper Mass - Chocolate 1kg,,56,35,6,0,33,0,0,0,135,0,3,0,0,0
237,PN Store,Hyper Mass - Vanilla 1kg,,93,45,25,0,34,0,0,0,133,0,5,0,0,0
238,PN Store,Hyper Mass 1000гр,,0,67,42,1,117,1,0,0,179,48,0,2,0,0
239,PN Store,Hyper mass sample,,0,39,42,0,195,0,0,0,240,38,0,0,0,0
240,PN Store,Hyper mass sample 65g chocolate,,0,9,5,0,22,0,0,0,40,0,0,1,0,0
241,PN Store,Hyper mass sample 65g vanilla,,1,39,0,0,42,0,0,0,80,0,0,0,0,0
242,PN Store,ISO Whey 2270g Black,,0,6,0,0,0,0,0,0,6,0,0,0,0,0
