,,,,,,,,,,,,,,,,,,,,,,,,,,Орлого | Бараа материал хөдөлгөөн,Орлого | Бараа материалын орлого,Орлого | Борлуулалтын буцаалт,Орлого | Дэлгүүрийн борлуулалтын буцаалт,Орлого | Татан авалт,Орлого | Худалдан авалт,Зарлага | Бараа материал борлуулалт,Зарлага | Бараа материал зарлага,Зарлага | Бараа материал хөдөлгөөн,Зарлага | Бараа материалын актлалт,Зарлага | Дэлгүүрийн борлуулалт,Зарлага | Дэлгүүрийн падааны борлуулалт,Зарлага | Худалдан авалтын буцаалт,Зарлага | Үндсэн хөрөнгө рүү шилжүүлэх
,Байршил,Барааны нэр,Эцсийн үлдэгдэл,,Орлого | Бараа материал хөдөлгөөн,Орлого | Бараа материалын орлого,Орлого | Борлуулалтын буцаалт,Орлого | Дэлгүүрийн борлуулалтын буцаалт,Орлого | Татан авалт,Орлого | Худалдан авалт,Зарлага | Бараа материал борлуулалт,Зарлага | Бараа материал зарлага,Зарлага | Бараа материал хөдөлгөөн,Зарлага | Бараа материалын актлалт,Зарлага | Дэлгүүрийн борлуулалт,Зарлага | Дэлгүүрийн падааны борлуулалт,Зарлага | Худалдан авалтын буцаалт,Зарлага | Үндсэн хөрөнгө рүү шилжүүлэх,Орлого нийт,Зарлага нийт,Үлдэгдэл,,,,Байршил, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
366,PN Store,Omega 3 /90ш/,2,0,520,0,21,1,0,0,59,167,29,1,257,0,0,0,542,513,29,,,,,,,,,,,,,,,,,,
367,PN Store,ISO Whey 500g - Strawberry,0,0,130,0,0,0,0,0,45,38,10,0,38,0,0,0,130,131,-1,,,,,,,,,,,,,,,,,,
368,PN Store,ISO Whey sample - tiramisu 25g,0,0,50,0,0,0,0,0,3,28,0,0,8,0,0,0,50,39,11,,,,,,,,,,,,,,,,,,
369,PN Store,Hyper mass sample 65g chocolate,0,0,40,0,0,1,0,0,0,9,5,0,22,0,0,0,41,36,5,,,,,,,,,,,,,,,,,,
386,PN Store,ISO Whey sample - coconut 25g,0,0,100,0,0,0,0,0,0,81,5,0,9,0,0,0,100,95,5,,,,,,,,,,,,,,,,,,
387,PN Store,ISO Whey sample - Vanilla 25g,0,0,150,0,0,0,0,0,0,87,11,0,46,0,0,0,150,144,6,,,,,,,,,,,,,,,,,,
388,PN Store,ISO Whey sample - White chocolate 25g,0,0,150,0,0,0,0,0,0,100,1,0,43,0,0,0,150,144,6,,,,,,,,,,,,,,,,,,
389,PN Store,Energy Gel 60g Professional Lemon,0,0,120,0,0,0,0,0,0,117,0,0,4,0,0,0,120,121,-1,,,,,,,,,,,,,,,,,,
392,PN Store,Amino Liquid currant 1л шилтэй,2,0,18,0,0,1,0,27,1,1,12,0,21,0,8,0,46,43,3,,,,,,,,,,,,,,,,,,
393,PN Store,Whey protein Powder 2270гр 3 төрөл,0,0,35,0,0,1,0,30,1,0,16,0,32,0,17,0,66,66,0,,,,,,,,,,,,,,,,,,
394,PN Store,Protein bar crisp,0,0,50,0,0,0,0,0,5,0,0,0,0,0,45,0,50,50,0,,,,,,,,,,,,,,,,,,
395,PN Store,Raw intensity Fruit funch 400g,0,0,6,0,0,0,0,0,1,0,0,0,5,0,0,0,6,6,0,,,,,,,,,,,,,,,,,,
396,PN Store,Mineral Plex 1000мл шилтэй,2,0,25,0,0,0,0,36,7,0,9,0,43,0,0,0,61,59,2,,,,,,,,,,,,,,,,,,
398,PN Store,Bedford 2,0,0,10,0,0,0,0,0,0,3,5,0,4,0,0,0,10,12,-2,,,,,,,,,,,,,,,,,,
399,PN Store,Bedford 7,0,0,7,0,0,0,0,0,0,1,0,0,1,0,0,0,7,2,5,,,,,,,,,,,,,,,,,,
400,PN Store,Bedford 8,0,0,7,0,0,0,0,0,0,1,0,0,5,0,0,0,7,6,1,,,,,,,,,,,,,,,,,,
402,PN Store,Bedford 5,0,0,10,0,0,0,0,0,0,0,1,0,10,0,0,0,10,11,-1,,,,,,,,,,,,,,,,,,
408,PN Store,Хөргөгч Amino vibe босоо шилэн нүүртэй,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
409,PN Store,Хөргөгч Amino vibe дугуй,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
473,PN Store,Protein bar cookie crunch,0,0,0,0,0,0,0,288,0,47,18,0,148,0,71,0,288,284,4,,,,,,,,,,,,,,,,,,
478,PN Store,Jack's prework out,1,0,0,0,2,0,0,42,2,1,0,0,39,0,1,0,44,43,1,,,,,,,,,,,,,,,,,,
479,PN Store,Jack's amino 300g,-1,0,0,0,0,0,0,34,0,1,0,0,34,0,0,0,34,35,-1,,,,,,,,,,,,,,,,,,
485,PN Store,Jack's BCAA 300g,0,0,6,0,0,0,0,24,0,0,6,0,19,0,5,0,30,30,0,,,,,,,,,,,,,,,,,,
486,PN Store,Protein bar oatcake,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,,,,,,,,,,,,,,,,,,
488,PN Store,ISO Whey sample - Raspberry 25g,0,0,50,0,0,0,0,0,0,50,0,0,0,0,0,0,50,50,0,,,,,,,,,,,,,,,,,,
489,PN Store,Power Mass,5,0,119,46,2,0,0,0,0,10,20,0,124,0,0,0,167,154,13,,,,,,,,,,,,,,,,,,
491,PN Store,ISO Whey 500гр,9,0,725,90,10,2,0,0,0,318,70,1,422,0,0,0,827,811,16,,,,,,,,,,,,,,,,,,
494,PN Store,Hyper Mass 1000гр,1,0,179,48,0,2,0,0,0,67,42,1,117,1,0,0,229,228,1,,,,,,,,,,,,,,,,,,
496,PN Store,Crush Bar,0,0,595,139,13,10,0,0,160,62,170,0,339,0,0,0,757,731,26,,,,,,,,,,,,,,,,,,
497,PN Store,Peanut butter 400гр,0,0,60,55,7,4,0,0,6,36,13,0,72,0,0,0,126,127,-1,,,,,,,,,,,,,,,,,,
498,PN Store,Energy Gel ,0,0,0,16,0,0,0,0,0,23,0,0,1,0,0,0,16,24,-8,,,,,,,,,,,,,,,,,,
499,PN Store,Protein bar nanosupps,3,0,1725,355,20,5,0,0,45,617,709,0,940,0,0,0,2105,2311,-206,,,,,,,,,,,,,,,,,,
500,PN Store,L-Carnitine 100.000,3,0,63,256,40,4,0,0,19,33,145,0,148,0,0,0,363,345,18,,,,,,,,,,,,,,,,,,
